quantity_in_kg,state,facility_name,site_address_suburb,site_latitude,site_longitude
708.3272,SA,Southern Waste Resourceco,Mclaren Vale,-35.21803,138.493967
108.20615,QLD,Barcaldine Power Station,Barcaldine,-23.55224,145.31459
41.2683,NSW,Kincumber Sewage Treatment Plant,Kincumber,-33.48039,151.391336
59.6,NSW,Elgas Sydney LPG Cavern,Port Botany,-33.9782251,151.2138462
424.592,NSW,Primo Chullora,Chullora,-33.894115,151.052067
287924,QLD,Invicta Mill,Giru,-19.51572222,147.10625
4215.56,SA,Cairn Hill Mine Site,Maralinga,-29.2955,135.1125
4.3952,SA,Beston Pure Foods Murray Bridge,Murray Bridge,-35.1216028,139.2547806
1164.42,QLD,James Hardie Carole Park,Carole Park,-27.61871389,152.9277778
538,QLD,DP World Brisbane,Wynnum,-27.381667,153.167222
1469.157,QLD,Century Mine,Burketown,-18.722879,138.599724
1226,QLD,Hanson Glasshouse Mtns Quarry,Glass House Mountains,-26.910155,152.9188
279.4,VIC,Kiewa,Tangambalanga,-36.251249,147.034642
675.156,SA,Moomba Meter and Compressor Station,Moomba,-28.132778,140.20667
347.6,NSW,Wollongong Sewage Treatment System,Wollongong East,-34.442068,150.898473
206.942,WA,Mt Magnet Town Gas Powerstation,Mount Magnet,-28.087,117.8327
5172.3935,VIC,Visy Melbourne Plant,Spotswood,-37.831506,144.891109
16.8152,WA,Chandler Rd Landfill Site,Merredin,-31.428653,118.300514
88.228,NSW,Pax Australia,Ingleburn,-33.995605,150.85093
33,QLD,Boral Asphalt Charlton,Wellcamp,-27.52761944,151.8427778
191.9959,VIC,Clyde Feedmill,Clyde,-38.13522,145.342191
5079.81,NSW,Bartter Cardiff Feedmill,Cardiff,-32.938619,151.648808
56475.534,NSW,Mangoola Coal,Muswellbrook,-32.261857,150.839356
2.3064,WA,Carnarvon Airport,Carnarvon,-24.883333,113.666944
365.9,VIC,Ringwood,Ringwood,-37.831116,145.220513
98,QLD,Mobile Plant 7832,Narangba,-27.198459,153.006338
884.079,VIC,Parkville Campus - Bedford St,North Melbourne,-37.8022957,144.9537071
11.890034,QLD,SEI Moranbah Power Station,Moranbah,-21.985278,148.016111
736.4755,QLD,Teys Australia Beenleigh,Beenleigh,-27.714188,153.177433
95.8,SA,Thomas Foods International Lobethal,Lobethal,-34.902848,138.881633
2238,SA,Sellicks Hill Quarry,Sellicks Hill,-35.340544,138.468173
2001.92,SA,Southern Cross Feedlot,Tintinara,-35.761158,140.102857
10205.069,QLD,QNP Ammonium Nitrate Plant,Moura,-24.5379,150.031
420.444,SA,Michell Pty Ltd,Salisbury South,-34.786389,138.648333
76.19634297,VIC,Cosgrove Renewable Energy Facility,Cosgrove,-36.348,145.598
179.147,WA,Quaker Oats Australia Pty Ltd,Forrestfield,-31.97,115.99
473.72,QLD,Laminex Gympie - Monkland,Gympie,-26.219211,152.694511
67.0045,VIC,CAPRAL LIMITED,Campbellfield,-37.66832,144.965372
43,NSW,Boral Asphalt Port Kembla,Port Kembla,-34.454525,150.863951
2985.5,WA,Gaskell Sands,Gnangara,-31.7559,115.9493
83.9376,WA,Avon Industrial Park Peak Power Station,Grass Valley,-31.643081,116.847421
353.01,QLD,AGRIPOWER AUSTRALIA LTD,Broughton,-20.05631,146.33061
311.9283,VIC,Bairnsdale Regional Landfill,Bairnsdale,-37.881159,147.63239
768.7727,NSW,Teys Australia Wagga Wagga,Wagga Wagga,-35.078422,147.409837
5205.162562,QLD,Parkhurst Magnesia Plant,Parkhurst,-23.318703,150.50542
45.91732498,QLD,Hervey Range,Bohle,-19.31675,146.6547222
24.72230078,QLD,Molendinar,Molendinar,-27.97518056,153.3538889
1823.1,VIC,Hanson Kilmore Quarry,Kilmore,-37.286547,144.979073
692.5,VIC,Hanson Diggers Rest Quarry,Melton,-37.615964,144.644582
133802.27,WA,Brockman 2/Nammuldi Mine,Tom Price,-22.418056,117.310833
4584.85,WA,Koodaideri Mine,Newman,-22.53289446,119.0844959
70.8922,VIC,Springhurst Compressor Station,Springhurst,-36.192,146.516
724.8758,VIC,VIP Packaging - Drum Reconditioning,Laverton North,-37.820294,144.819859
113.6555,VIC,Taylors Rd soil processing facility,Dandenong,-38.043503,145.232587
702.79,NSW,Bayrange TG Jung Quarry,Coffs Harbour,-30.282,153.06782
63191.523,QLD,South Walker Creek Mine Operations,Nebo,-22.3,148.241389
109.1234317,SA,NAWMA Renewable Energy Facility,Uleybury,-34.6736,138.7294
112.128,NSW,Moorebank Bakery,Moorebank,-33.927629,150.9294
163.653,QLD,Burleigh Heads Bakery,Burleigh Heads,-28.103866,153.411577
333.2,QLD,Quantem,Pinkenba,-27.423066,153.126956
128.603,SA,Forestville Bakery,Forestville,-34.949291,138.58062
1615,NSW,Rocglen Coal Mine,Gunnedah,-30.766939,150.273117
1711.9,NSW,Whitehaven Rail Siding,Gunnedah,-30.95057842,150.1999395
44.4906,WA,Landsdale Resource Recovery Park,Landsdale,-31.80018338,115.8471431
607.2326,NSW,Overall Forge,Ettamogah,-36.00252,146.985844
141604.249,QLD,Glencore Coal - Hail Creek Open Cut Mine,Nebo,-21.488923,148.369134
343.129,VIC,PGH Bricks & Pavers Thomastown,Thomastown,-37.686296,144.97665
90.0912,NSW,The Daily Drinks Company Smithfield,Smithfield,-33.837334,150.947017
378.831,NSW,"Bega Dairy and Drinks, Wetherill Park",Wetherill Park,-33.845541,150.897549
88.2887,NSW,Bega Dairy & Drinks Penrith,Penrith,-33.747998,150.690002
556.5177,TAS,Claremont,Claremont,-42.792703,147.266846
159.994,ACT,UNIVERSITY OF CANBERRA,Canberra University Lpo,-35.241429,149.089396
63.234,VIC,H B FULLER COMPANY AUSTRALIA PTY LIMITED,Dandenong South,-38.024123,145.202294
107.4,QLD,Kirra St Bitumen Import Facility,Pinkenba,-27.418987,153.135289
94.98,TAS,Selfs Point Bitumen Terminal,New Town,-42.84581,147.32441
77.0688,VIC,Thomastown,Thomastown,-37.69054,145.04202
624.385,NSW,Baiada Beresfield Site,Beresfield,-32.795299,151.645919
4303.58102,QLD,Mt Carlton,Ayr,-20.27080185,147.5664272
12969,QLD,Kogan Creek Power Station,Brigalow,-26.9175,150.75
101.546,SA,Suttontown,Suttontown,-37.797642,140.775234
177936.25,NSW,Mt Arthur Coal,Muswellbrook,-32.337182,150.861779
4265,QLD,Hay Point Terminal,Hay Point,-21.276667,149.293333
34.24,NSW,Wagga Wagga Asphalt Plant,Bomen,-35.06811389,147.4122889
435.797,QLD,Acacia Ridge,Acacia Ridge,-27.582719,153.032245
0.961,QLD,Karumba Airport,Karumba,-17.45513329,140.8321602
11657.59,WA,Halls Creek Project,Halls Creek,-18.409731,127.354422
6.07,VIC,Transwaste Technologies - Campbellfield,Campbellfield,-37.667008,144.966063
392.2921,SA,Wingfield Protein Conversion Plant,Wingfield,-34.840833,138.550833
368.8989,SA,Edinburgh Parks FP,Edinburgh,-34.72777,138.63263
270.5956,SA,Bolivar Primary Processing,Burton,-34.744722,138.586944
90.5388,WA,Osborne Park,Osborne Park,-31.911667,115.826111
0.57,VIC,Melton RWP,Melton South,-37.751377,144.591523
1783.2,QLD,NuGrow Ipswich,Swanbank,-27.669922,152.818495
23309.09062,WA,Herb Elliott Port,Boodarie,-20.3352,118.5707
222816.4384,WA,Solomon Hub,Tom Price,-22.209,117.826
1099.43,WA,City of Rockingham Millar Road Landfill Facility,Baldivis,-32.283611,115.819722
266.6284,VIC,Australian Centre for Disease Preparedness,Geelong East,-38.153005,144.387771
29238.989,WA,Kwinana Power Station,Naval Base,-32.198333,115.776667
4939.6869,WA,Hopetoun Wind Diesel Power Station,Hopetoun,-33.90465,120.129714
110.86,QLD,Nudgee Flare,Nudgee Beach,-27.362992,153.099366
214.2521048,VIC,Visy Board - Campbellfield,Campbellfield,-37.650325,144.935503
504.189,WA,Austral Bricks - Cardup,Cardup,-32.245302,116.015525
2229.10578,NT,Ron Goodin Power Station,Alice Springs,-23.709154,133.891131
1035.35079,NT,Katherine Power Station,Katherine,-14.458136,132.244181
95.25289,NT,Kings Canyon Power Station,Kings Canyon,-24.247434,131.507138
1806.71,NT,Katherine Quarry,Katherine,-14.502609,132.336704
696,SA,Roxby Downs Quarry,Roxby Downs,-30.565715,136.856007
53.3709,WA,Bibra Lake,Bibra Lake,-32.118934,115.804837
682.2,NT,Blacktip Onshore Gas Plant,Wadeye,-14.2413,129.435
4117.8928,WA,Kwinana Terminal,Kwinana Beach,-32.229086,115.762999
617.04162,NSW,Arnotts Biscuits Huntingwood,Huntingwood,-33.796377,150.873166
1717.592,WA,Coolgardie Gold Operations,Coolgardie,-30.93,121.2
16797.38,WA,Granny Smith Mine,Laverton,-28.813889,122.420833
46609.24,WA,Greater Karara Project,Rothsay,-29.175388,116.785013
3319.61257,TAS,Railton Works,Railton,-41.332377,146.416353
12730,QLD,Phosphate Hill,Dajarra,-21.880932,139.97639
4121.43,WA,Wheatstone Platform,Karratha,-19.929383,115.38395
24348.61232,WA,St Ives Lake Lefroy Operations,Widgiemooltha,-31.326056,121.761865
9312.992,WA,Central Norseman Gold Project,Norseman,-32.193333,121.801111
1973.06017,WA,Lakewood Gold Processing Facility,Lakewood,-30.800556,121.540278
6555.543101,WA,Plutonic Gold Mine,Meekatharra,-25.321046,119.451358
32214.34,WA,Bellevue Gold Mine,Sir Samuel,-27.646824,120.552277
7851.37,WA,Kambalda Power Station,Kambalda,-31.190833,121.672222
39588.62,WA,Thunderbox Operations,Leinster,-28.192778,121.006111
34.5,NSW,Mawsons Armstrong Pit Quarry,Warburn,-34.10839,145.96751
8990,QLD,Dyno - Moranbah,Moranbah,-21.972444,147.983832
4011.71086,NT,Owen Springs Power Station,Brewer Industrial Estate,-23.863612,133.824766
15830,WA,Ngujima-Yin,Exmouth,-21.43333,114.033333
13770.96,WA,Porphyry Gold Mine,Kookynie,-29.792135,122.286818
7976.77,WA,Penny Gold Mine,Sandstone,-28.82573769,118.7935577
45900,WA,Yancoal - Premier,Collie,-33.396,116.274
351.31,WA,Tubridgi Gas Storage Facility,Onslow,-21.78361111,114.8663889
10200.94303,WA,Port Hedland Power Plant,Boodarie,-20.428333,118.549722
145.816,VIC,WARRNAMBOOL CAMPUS,Warrnambool,-38.380139,142.473427
100.6633,SA,SALISBURY,Salisbury South,-34.783592,138.650499
776.5,WA,Compressor Station 3,Lyndon,-23.646667,115.146111
966.67,WA,Compressor Station 9,Red Gully,-31.105,115.775833
2126.7092,WA,Waitsia Gas Field,Mount Adams,-29.3,115.09
19650,WA,Karlawinda Gold Project,Capricorn,-23.767778,120.010278
39,NSW,Brou Landfill Facility,Dalmeny,-36.144923,150.096399
2066.35,NT,NGANMARIYANGA POWER STATION,Nganmariyanga,-14.357843,129.88439
1100.78,NT,Lajamanu Community Power Station,Lajamanu,-18.328756,130.62871
4310,SA,Stunsail Oilfield,Via Port Augusta,-27.648988,139.458764
38837,WA,Mt Cattlin Spodumene Project,Ravensthorpe,-33.560697,120.017294
168.47854,WA,Welshpool Operations,Welshpool,-31.989141,115.92731
1180,NSW,Excelsior Quarry,Capertee,-33.064444,149.978056
19.6,NSW,EDL Jack's Gully,Mount Annan,-34.070634,150.729513
8.13,SA,Wingfield 1,Wingfield,-34.834829,138.557243
12.7,VIC,Brooklyn,Brooklyn,-37.817979,144.83198
6.53,WA,Leonora,Leonora,-28.883611,121.330278
2140,WA,Maitland,Karratha,-20.83346,116.6806
1370,WA,Derby,Derby,-17.3142,123.6441
1170,WA,Warmun,Warmun,-17.0342295,128.2095087
205,QLD,Moranbah North,Moranbah,-21.887467,147.963242
821,WA,Ardyaloon,Dampier Peninsula,-16.448,123.047
19.7,NSW,EDL Glennies Creek,Singleton,-32.459925,151.128703
366,VIC,Pyramid Hill Quarry,Pyramid Hill,-36.06037,144.14244
662638.768,VIC,AGL Loy Yang,Traralgon,-38.251662,146.589831
174533.9,WA,"Sino Iron Project - Mining, Processing & Infrastructure Area",Mardie,-21.077,116.16
3870,VIC,Little River,Little River,-37.917409,144.427256
2370,VIC,Nyora,Nyora,-38.3335401,145.6106686
5008,WA,Horizon Power Laverton Power Station,Laverton,-28.621389,122.396389
1770,QLD,Cook Colliery,Blackwater,-23.71695,148.894636
4370,QLD,Sonoma Coal Mine,Collinsville,-20.638,147.856
66.6,QLD,Mt Isa compressor station,Mount Isa,-20.787735,139.479197
795,QLD,Rolleston Compressor and Meter Station (Queensland Gas Pipeline),Rolleston,-24.708639,148.844389
23000,QLD,Yancoal - Cameby Downs,Chinchilla,-26.64933,150.33736
4024.8,VIC,Laverton,Laverton North,-37.84158,144.788657
1163,NSW,InfraBuild Wire ( Newcastle),Mayfield,-32.888479,151.747923
11200,QLD,Vulcan,Dysart,-22.28417,148.18378
15795.942,WA,Mt Magnet Gold Project,Mount Magnet,-28.040833,117.824167
9889.839,WA,Edna May Operations,Westonia,-31.290942,118.700986
11031.008,QLD,Kilcoy Pastoral Company Ltd,Kilcoy,-26.936369,152.590403
1348.570061,QLD,Queensland Tissue Products Pty Ltd,Carole Park,-27.619,152.936
74.41,SA,Mile End Asphalt Plant,Mile End,-34.938333,138.571389
127.448928,SA,TARAC TANUNDA ROAD,Nuriootpa,-34.480498,138.988957
238.12695,WA,Hartway Galvanizers,Canning Vale,-32.057222,115.911667
125.607,WA,Boodarie Compressor Station,Boodarie,-20.428056,118.5525
31680.658,VIC,Esso - Crude Oil Stabilisation Plant,Longford,-38.225234,147.161224
163.067,VIC,Lockwood Processing Plant,Lockwood,-36.812428,144.165077
456.53,VIC,Pittong,Linton,-37.683723,149.564213
4072.17,VIC,Lang Lang Sand Quarry and Processing Plant,Lang Lang,-38.30917,145.6386
1125,VIC,DANDENONG PLANT,Dandenong,-38.012259,145.216298
162.922,VIC,PRINCES LAUNDRY SERVICES PTY LTD,Braeside,-37.997202,145.123236
2043.178253,VIC,CSR Gyprock-Yarraville,Yarraville,-37.817277,144.901738
1216.249,TAS,Dulverton Regional Waste Management landfill,Dulverton,-41.279076,146.386379
23.296,TAS,Galvline Tasmania,Prospect Vale,-41.486195,147.12562
958.5318,VIC,Royal Melbourne Hospital Cogeneration Plant,Parkville,-37.799284,144.95449
781,VIC,Laverton North,Laverton North,-37.828024,144.799182
320.5872,VIC,CSR Monier Terracotta,Vermont,-37.832938,145.193878
222,NSW,Groundwater Treatment Plant,Matraville,-33.956085,151.220876
78.6689,NSW,Borg Plantations Tumut,Tumut,-35.303934,148.203461
100135,NSW,Rix's Creek Mine,Singleton,-32.499201,151.131857
200.663,NSW,Industrial Galvanizers Girraween,Girraween,-33.804875,150.939952
300.23,NSW,Pentarch Timber Herons Creek,Herons Creek,-31.590747,152.728677
24366.7,NSW,Highland Pine Products Oberon Sawmill,Oberon,-33.698101,149.853902
709.9,NSW,Sydney (Kingsford Smith) Airport,Mascot,-33.937335,151.178964
4231.3,NSW,Muswellbrook Coal Company,Muswellbrook,-32.240783,150.953329
7.25304,NSW,Norah Head Outfall - Toukley Sewage Treatment Plant,Noraville,-33.276438,151.554199
2410.24,NSW,Appin Mine,Wilton,-34.211045,150.79271
389.928,WA,Royal Perth Hospital - Wellington Street,Perth,-31.954167,115.865556
221.675,QLD,PGH Bricks and Pavers Oxley,Inala,-27.57225,152.9698
2115,VIC,Douglas Mineral Sands Mine,Douglas,-37.033347,141.732203
105,QLD,Boral Asphalt West Burleigh,West Burleigh,-28.11314,153.416411
2236.8408,QLD,Yuleba Cypress Sawmills,Miles,-26.690278,150.191389
303.651,QLD,Nambour Landfill,Nambour,-26.6125,152.979444
4582.74,QLD,Swanbank Waste Management Facility,Swanbank,-27.657087,152.82914
382.778,QLD,Brisbane Airport Corporation,Brisbane Airport,-27.385278,153.119167
180.18254,SA,Plantation Treated Timber Pty Ltd,Kalangadoo,-37.560556,140.703056
7179.9425,SA,BORDERTOWN,Bordertown,-36.327778,140.737222
226.5,SA,Dry Creek,Dry Creek,-34.840278,138.590556
3992.54,QLD,Mater Health Services,South Brisbane,-27.486378,153.027897
1295.886,QLD,Boral Quarries West Burleigh,West Burleigh,-28.115278,153.421389
2655.07,QLD,Bohle quarry,Bohle,-19.260666,146.693918
4605.12,QLD,Petrie Quarry,Kurwongbah,-27.245465,152.927757
2089.49,QLD,Calcium Quarry,Calcium,-19.65207,146.83038
1868.968,SA,Bolivar Wastewater Treatment Plant,Bolivar,-34.769126,138.58394
583.608,SA,PGH Bricks and Pavers Golden Grove,Golden Grove,-34.788678,138.732047
152,SA,OSBORNE COGENERATION PLANT,Osborne,-34.797711,138.507489
21388.8,QLD,Kogan Creek Mine,Via Brigalow,-26.928889,150.779167
19564,QLD,Aurora Metals Limited Chillagoe,Chillagoe,-17.110662,144.383762
51.3691,QLD,HEXION PTY LTD,Murarrie,-27.437181,153.119886
6596.27,NSW,Weathertex Pty Ltd,Raymond Terrace,-32.78368,151.74086
16407.821,QLD,DTM Timber Tiaro Sawmill,Tiaro,-25.706749,152.619687
87.17,NSW,Minto Asphalt Plant,Minto,-34.037153,150.834725
7451.2,NSW,Bindaree Beef Inverell,Inverell,-29.764444,151.058389
33757.6081,WA,Mt Weld Rare Earths Project,Laverton,-28.854848,122.522465
12407.7348,QLD,Cape Flattery Silica Mines,Cooktown,-14.989327,145.327076
99.57600006,VIC,Hamilton Base Hospital,Hamilton,-37.737353,142.029795
140.02,QLD,Ormeau Asphalt Plant,Ormeau,-27.7512528,153.255494
552.33,TAS,Launceston Quarry,Mowbray,-41.402689,147.152373
3513.290656,VIC,Visy Paper No. 4 and 5,Campbellfield,-37.649051,144.937198
545.80363,NSW,Mars Food Berkeley Vale,Berkeley Vale,-33.3257,151.415827
297.48,VIC,Bradken Wodonga,Wodonga,-36.12048,146.895681
447.912,NSW,Young Compressor Station,Young,-34.239393,148.323115
0.00348494,QLD,Kogan North,Kogan,-27.08127594,150.865716
21.326,WA,Shale Road Landfill,Whitby,-32.264722,116.021111
45883.78,NSW,Berrima Cement Works,New Berrima,-34.506507,150.336196
5252.813085,VIC,Armstrong Flooring,Braeside,-37.993812,145.112379
71.632,NSW,Polyfoam (Sydney) Pty Ltd,Moorebank,-33.931097,150.928406
1563.76,SA,Toolachee Gas,Leigh Creek,-28.231841,140.653202
1428.86,SA,Big Lake Gas,Leigh Creek,-28.237955,140.273762
184.522,NSW,Linen Services Australia North Rocks,North Rocks,-33.774064,151.009483
417,WA,BBM Perth,Welshpool,-31.99485,115.968472
744,VIC,CARGILL PROCESSING LIMITED,Footscray West,-37.811078,144.857613
262.91,VIC,Somerton,Somerton,-37.641832,144.941312
705.134,NSW,Boral Shadforth (Orange) Quarry,Shadforth,-33.383177,149.18161
145.062,VIC,Laverton Processing Plant,Laverton North,-37.821,144.816
2302.4,VIC,TT-Line Port Melbourne,Port Melbourne,-37.841701,144.931551
525.762,VIC,AUSTRALIAN MEAT GROUP DANDENONG,Dandenong,-38.028574,145.198767
159474,SA,WHYALLA STEELWORKS,Whyalla,-33.009655,137.585513
91.9429,QLD,Chandler Flare,Chandler,-27.511803,153.153319
397.152,VIC,Mission Foods,Epping,-37.64475407,144.998279
1848.72,NSW,Wilga Park Power Station,Narrabri,-30.214,149.403
11228,QLD,Ruby Jo CPP,Kumbarilla,-27.231634,150.857159
141.3,SA,Centennial Park Cemetery Authority,Pasadena,-34.997467,138.588088
1733.41,QLD,Callemondah Rail Yard (Fuelling Facility),Callemondah,-23.865002,151.229228
82.6396,VIC,Just Biodiesel,Indigo Valley,-36.1185,146.699
168,NSW,Kooragang Coal Terminal,Kooragang Island,-32.880358,151.772976
146.088,NSW,Pacmetal Services,Glendenning,-33.753951,150.850448
2589.76,NSW,Dubbo Quarry,Dubbo,-32.280353,148.656958
9808.850062,QLD,Cloncurry Project,Cloncurry,-21.662972,140.481706
819.103,QLD,Boral Quarries Redlynch,Redlynch,-16.9272,145.685
75,SA,Gepps Cross Asphalt Plant,Gepps Cross,-34.845898,138.590564
654.113,SA,Stonyfell Quarry,Stonyfell,-34.937311,138.681107
664.722,SA,Mt McIntyre Quarry,Mount Mcintyre,-37.56595278,140.5445389
2196.8,NSW,Newstan Colliery,Fassifern,-32.976997,151.571532
553.32234,SA,Malt Cavan,Cavan,-34.823725,138.596066
191.32,VIC,Maroondah Hospital,Ringwood East,-37.805025,145.255326
611.79,NSW,Tip Top Bakeries Chullora,Chullora,-33.895754,151.048034
11288,SA,Keith Proteins Division,Keith,-36.061437,140.451907
3110,WA,Home Island Power Station,Cocos(Keeling) Island,-12.116667,96.9
3911.175,WA,West Island Power Station,Cocos (Keeling) Island,-12.183333,96.816667
2598,VIC,Mandalay Resources Costerfield Operations,Costerfield,-36.89159,144.800353
75.63,SA,Compressor Station 1,Out Of Hundreds Strzelecki,-28.704506,140.04509
257.3923497,NSW,IVE Group Print Warwick Farm,Warwick Farm,-33.916716,150.935744
0.288,WA,"GGT, Leinster Terminal Delivery/Meter Station",Leinster,-27.812547,120.697154
21.184,WA,"GGT, Paraburdoo Delivery/Meter Station",Innawanga,-23.340284,117.579639
1.056,WA,PGP - Chandala Meter Station,Yanchep,-31.532494,115.946439
660.341,VIC,Barwon Water Biosolids Management Project,Connewarre,-38.28265,144.418253
3119.86,WA,Daisy Milano Gold Mine,Emu Flat,-31.014858,121.923231
71.873308,QLD,Bandag Manufacturing Pty Limited,Wacol,-27.602488,152.928364
124.309,VIC,Blackmores Braeside,Braeside,-38.007632,145.107844
100574.22,VIC,Viva Energy Geelong Refinery,Corio,-38.076224,144.379108
859.56,VIC,Colac,Ondit,-38.254506,143.614493
713.51,NSW,Boambee Quarry,Coffs Harbour,-30.30118,153.054547
142.21,SA,Wingfield,Wingfield,-34.848011,138.572556
324.9960381,VIC,IVE PWO Sunshine,Sunshine,-37.80083333,144.835
92.1061,WA,Welshpool,Welshpool,-31.988413,115.943316
10.072,QLD,Viva Energy Townsville Terminal,Townsville,-19.255742,146.832117
145.0735,QLD,GELITA Australia,Beaudesert,-28.021047,152.932222
85.8816,NSW,Sara Lee,Lisarow,-33.381093,151.357484
77.9453518,QLD,Birkdale Renewable Energy Facility,Birkdale,-27.509277,153.225562
3968.14,SA,Central Power House Umuwa,Umuwa,-26.481348,132.01843
16.048,WA,GGP. Boonamichi Well Meter Station,Newman,-23.5522,118.4835
113.61572,QLD,Banyo,Banyo,-27.378945,153.079518
328.427,VIC,Nestle Confectionery & Snacks,Broadford,-37.212763,145.062103
0.0297,TAS,Westbury LNG Plant,Westbury,-41.51,146.8295
1856,VIC,West Swanson Terminal,West Melbourne,-37.810235,144.911025
314.9047,QLD,Northern Water Treatment Plant,Woleebee Creek,-26.280165,149.79489
1.29,VIC,Siltech PMR,Campbellfield,-37.665306,144.9570853
50945.525,QLD,APLNG Facility - Curtis Island,Curtis Island,-23.755,151.19
2098.66,NSW,Hexham Train Support Facility,Hexham,-32.823212,151.680762
32132.9645,NSW,Bega Cheese Limited DPU,Bega,-36.668322,149.83048
6201.9944,QLD,Teys Australia Rockhampton,Rockhampton,-23.38,150.559722
2350.404,VIC,Yarraville,Yarraville,-37.8208968,144.8987927
45.88555033,QLD,Tugun Closed Landfill,Tugun,-28.16025,153.496922
0.317856,NSW,Prysmian Australia Dee Why,Dee Why,-33.73572,151.283297
1522.4,QLD,Edmonton Quarry,Edmonton,-17.081667,145.730278
1226.7,WA,Hanson Bunbury Quarry,North Boyanup,-33.406389,115.6625
270.1,VIC,Maffra,Maffra,-37.97298,146.967114
126.6,NSW,West Camden Sewage Treatment Plant,West Camden,-34.058536,150.678444
140.5,NSW,Warriewood Sewage Treatment Plant,Warriewood,-33.692025,151.299566
330.212,NSW,Rivalea (Australia) - Stock Feed Mill,Corowa,-35.969719,146.406762
117,VIC,Amcor Flexibles Asia Pacific - Preston,Preston,-37.748243,145.026604
209.847,VIC,The Northern Hospital,Epping,-37.65128,145.014288
578.0564,WA,Greenbushes,North Greenbushes,-33.823626,116.054034
145.962,WA,Murrin Murrin Compressor Station,Leonora,-28.844352,121.174893
64,VIC,Fawkner,Fawkner,-37.711234,144.962189
2264.65,NSW,Austen Quarry,Hartley,-33.576361,150.158528
8110.46,WA,Deflector Gold Project,Yalgoo,-28.655022,116.384381
461.7722,SA,Port Lincoln Power Station,Boston,-34.700024,135.8047
266.174,WA,Solenis Australia Pty Ltd,Kwinana Beach,-32.21,115.776667
157.547,VIC,Broadmeadows,Broadmeadows,-37.6771652,144.9414177
20132,NT,INPEX Operations Australia - Offshore,~820 Km Sw Of Darwin; ~210 Km Nw Of Wa Coastline,-13.9,123.3
3488.091,QLD,South Denison,Westgrove,-25.448587,148.400075
23352,QLD,Broadlea North Coal Project,Via Coppabella,-21.875,148.166667
67.9712,VIC,Lemnos Foods,Dandenong South,-38.036143,145.208683
53993.181,QLD,Collinsville Coal Mine,Collinsville,-20.557987,147.802911
57.4,VIC,West Melbourne,Laverton North,-37.82771944,144.7869889
0,VIC,Farm L1,Lethbridge,-37.985461,144.07785
2447.72,VIC,formerly Asaleo Care,Box Hill,-37.839159,145.130658
428.456871,VIC,GIRGARRE,Girgarre,-36.3940135,144.9824091
389.6773,VIC,Springvale Botanical Cemetery,Springvale,-37.948572,145.173941
511.659,QLD,Fero Group Queensland,Narangba,-27.202816,152.987902
7813.4894,QLD,Hume Masterpanel Pty Ltd,Bundamba,-27.597378,152.821759
844.657,NT,Shoal Bay Waste Management Facility,Karama,-12.387895,130.923296
92.16,VIC,Heinz Watties,Echuca,-36.14872222,144.7718333
46.74089744,TAS,Dulverton Renewable Energy Facility,Latrobe,-41.284706,146.396683
73.91497537,QLD,Bromelton (Beaudesert),Bromelton,-27.96877778,152.9291667
16.24777524,QLD,Buderim,Buderim,-26.68405556,153.1002778
171.0086147,QLD,Nambour,Nambour,-26.611184,152.981248
168.6185614,QLD,Reedy Creek,Burleigh Heads,-28.10925,153.412837
256.5441585,SA,LMS Energy - Seaford Heights,Seaford Heights,-35.20149,138.50265
5.46,SA,Moomba North Gas Satellite,Leigh Creek,-28.109968,140.20296
2211.5,VIC,Hanson Lysterfield Quarry,Lysterfield,-37.931419,145.270547
27794.89,WA,Mt Tom Price Mine,Tom Price,-22.782222,117.762222
7741.476153,TAS,Rosebery Operations,Rosebery,-41.774861,145.540352
111.21164,NSW,IVE Group Franklin Web Printing Huntingwood,Huntingwood,-33.796402,150.890827
0,VIC,Heath Hill and Yannathan Farms,Yannathan,-38.228386,145.7027516
87643.46,QLD,Poitrel Coal Mine,Via Moranbah,-22.051389,148.255278
123.742159,QLD,Lakes Creek Road Landfill,The Common,-23.375,150.535
9757.442,QLD,Meridian Seam Gas,Kianga,-24.613957,150.011695
430.7695858,SA,AAA Asphalt PTY LTD,Lonsdale,-35.09999,138.50261
668,NSW,Sydney Logistics Park,Matraville,-33.965903,151.223945
4736.466409,QLD,Cracow,Cracow,-25.295902,150.288005
572.4111,VIC,HUHTAMAKI FIBER FOODSERVICE PRESTON,Preston,-37.75182,145.025033
8135.117,WA,Dalgaranga Gold Mine,Daggar Hills,-27.846848,127.277266
609.4,WA,Karratha Quarry (Mt Regal),Maitland,-20.79489,116.762501
1332.47,WA,Queen Elizabeth II Medical Centre (QEIIMC),Nedlands,-31.968056,115.815556
97.74,VIC,Altona Bitumen Plant,Altona North,-37.84669,144.833855
602.152,VIC,Dandenong Hospital,Dandenong,-37.97649,145.21925
195.8828007,VIC,Visy Board Truganina,Truganina,-37.800693,144.740768
30294.17,WA,Ngungaju Pilgangoora Operations,Marble Bar,-21.049736,118.8948
1128.415153,NSW,LMS Woy Woy Landfill Gas,Woy Woy,-33.505144,151.292883
32428,SA,Pelican Point Power Station,Outer Harbor,-34.766413,138.506654
1749.56,VIC,Orbost GP,Corringle,-37.7981,148.4355
190.2,VIC,Opal Fibre Packaging Brooklyn,Brooklyn,-37.814649,144.855807
